Comment.id|Place.id
137438953797|0
137438953798|0
343597384499|56
343597384500|4
343597384501|56
343597384502|60
343597384503|56
343597384504|56
343597384505|60
343597384506|73
343597384507|60
343597384508|100
343597384509|101
343597384510|101
343597384511|4
343597384512|100
343597384513|1
274877907779|92
274877907780|50
274877907781|100
274877907782|56
274877907783|49
274877907784|100
274877907785|60
274877907786|60
274877907787|56
274877907788|49
274877907789|101
274877907790|56
274877907791|50
274877907792|49
274877907965|110
274877907966|1
274877907967|110
274877907968|90
274877907969|1
343597384706|110
343597384707|110
274877907972|110
274877907973|90
343597384710|3
274877907975|65
343597384712|97
274877907978|97
274877907979|110
343597384736|60
343597384739|110
343597384741|60
343597384742|87
343597384743|1
343597384745|0
343597384748|60
343597384749|47
343597384756|57
343597384757|52
343597384758|65
343597384759|101
343597384760|1
343597384761|65
343597384762|56
343597384763|60
343597384764|0
343597384765|1
343597384766|1
