Post.id|Place.id
343597383680|110
343597383681|71
343597383682|71
343597383683|71
343597383684|71
343597383685|71
343597383686|71
343597383687|71
343597383688|71
343597383689|71
343597383690|71
343597383691|71
343597383692|71
343597383693|71
343597383694|71
343597383695|71
343597383696|71
343597383697|71
343597383698|23
343597383699|71
343597383700|71
343597383701|71
343597383702|71
343597383703|71
343597383704|71
343597383705|71
343597383706|71
343597383707|71
343597383708|71
343597383709|71
343597383710|71
343597383711|71
343597383712|71
343597383713|71
343597383714|71
274877906979|50
274877906980|50
274877906981|50
274877906982|50
274877906983|50
274877906984|50
274877906985|50
274877906987|50
274877906988|50
274877907005|80
274877907006|80
274877907007|80
274877907008|80
274877907009|80
274877907010|80
274877907011|80
274877907012|80
274877907013|80
274877907014|80
274877907015|80
274877907016|80
274877907017|80
274877907018|80
274877907019|80
274877907020|80
274877907021|80
274877907022|80
274877907023|80
274877907024|80
343597383781|80
343597383782|80
343597383783|80
343597383784|80
343597383785|80
343597383786|80
343597383803|89
343597383804|89
343597383805|89
343597383806|89
343597383807|89
343597383808|89
343597383809|89
343597383810|89
343597383811|89
343597383812|89
343597383813|89
343597383814|89
343597383815|89
343597383816|89
343597383817|89
343597383818|89
343597383819|89
343597383820|89
343597383821|89
343597383822|89
206158430351|89
206158430352|89
206158430353|7
206158430354|89
206158430355|89
206158430356|89
206158430357|89
206158430358|89
206158430359|89
206158430360|89
206158430361|89
206158430362|37
206158430363|89
206158430364|51
206158430365|89
206158430366|89
206158430367|89
206158430368|89
206158430369|89
274877907106|89
274877907107|89
274877907108|89
274877907109|89
274877907110|89
274877907111|89
274877907112|89
274877907113|89
274877907114|89
274877907115|89
274877907116|89
274877907117|89
274877907118|89
274877907119|89
274877907120|89
274877907121|89
68719476914|4
68719476915|89
68719476916|89
68719476917|89
68719476918|89
68719476919|89
68719476920|89
68719476921|89
137438953658|89
137438953659|89
137438953660|82
137438953661|89
137438953662|89
137438953663|89
137438953664|89
137438953665|89
137438953666|89
137438953667|89
137438953668|89
137438953669|89
137438953670|89
137438953671|89
137438953672|89
137438953673|89
137438953674|89
137438953675|89
137438953676|89
206158430413|89
206158430414|89
206158430415|89
206158430416|89
206158430417|89
206158430418|89
206158430419|89
206158430420|89
206158430421|89
206158430422|89
206158430423|89
206158430424|89
206158430425|89
206158430426|89
206158430427|89
274877907164|89
274877907165|89
274877907166|89
274877907167|89
274877907168|89
274877907169|89
274877907170|89
274877907171|89
137438953702|1
137438953703|1
137438953704|1
137438953705|1
137438953706|1
137438953707|1
137438953708|7
137438953709|1
137438953710|1
137438953711|1
137438953712|1
137438953713|1
137438953714|1
137438953715|1
137438953716|1
137438953717|1
137438953718|78
137438953719|1
137438953720|72
137438953721|1
137438953722|1
137438953723|1
137438953724|1
137438953725|1
137438953726|1
137438953727|1
137438953728|1
137438953729|1
274877907202|1
274877907203|1
274877907204|1
274877907205|1
274877907206|1
206158430471|1
206158430472|1
206158430473|1
206158430474|1
206158430475|1
206158430476|1
206158430477|1
206158430478|1
206158430479|1
206158430480|1
206158430481|1
206158430482|1
206158430483|1
206158430484|1
277|1
278|1
279|1
280|1
281|1
282|1
283|1
284|1
285|1
286|1
287|1
288|1
289|1
290|1
291|1
292|1
293|1
294|1
137438953767|1
137438953768|1
137438953769|1
137438953770|1
137438953771|1
137438953772|1
68719477037|1
68719477038|1
206158430511|1
206158430512|1
206158430513|1
274877907250|1
274877907251|1
274877907252|1
274877907253|1
274877907254|1
274877907255|1
274877907256|1
274877907257|1
274877907258|1
274877907259|1
274877907260|1
274877907261|1
274877907262|1
274877907263|1
274877907264|1
274877907265|1
274877907266|1
274877907267|1
137438953796|52
274877907278|60
274877907314|60
274877907315|60
274877907316|60
274877907317|60
274877907318|60
274877907319|60
274877907320|60
274877907321|60
274877907322|60
274877907323|60
274877907324|60
274877907325|60
274877907326|60
274877907327|60
274877907328|60
274877907329|60
206158430594|60
206158430595|60
206158430596|60
206158430597|60
206158430598|60
206158430599|60
206158430600|60
206158430601|60
206158430602|60
206158430603|60
206158430604|60
206158430605|60
206158430606|60
206158430607|60
206158430608|60
206158430609|60
206158430610|60
206158430611|49
206158430612|60
206158430613|60
206158430614|60
206158430615|60
206158430616|60
206158430617|60
206158430618|60
206158430619|60
206158430620|60
206158430621|60
206158430622|60
206158430623|1
206158430624|1
206158430625|1
206158430626|1
137438953891|1
137438953892|1
137438953893|1
137438953894|75
137438953895|1
137438953896|1
137438953897|1
137438953898|1
137438953899|1
137438953900|1
137438953901|1
137438953902|1
137438953903|1
137438953904|1
137438953905|1
137438953906|1
137438953907|1
206158430644|1
206158430645|1
206158430646|1
206158430647|1
206158430648|1
206158430649|69
206158430650|1
206158430651|1
206158430652|39
206158430653|1
206158430654|1
206158430655|1
206158430656|33
206158430657|1
206158430658|1
206158430659|1
206158430660|1
206158430661|1
206158430662|1
206158430663|1
274877907400|1
274877907401|1
274877907402|1
274877907403|1
274877907404|1
274877907405|1
274877907406|1
206158430671|1
206158430672|1
206158430673|1
206158430674|1
206158430675|1
206158430676|1
206158430677|1
206158430678|1
206158430679|1
206158430680|1
274877907417|1
274877907418|1
274877907419|1
274877907420|1
274877907421|1
274877907422|1
274877907423|1
343597384184|49
343597384185|49
343597384186|49
343597384187|49
343597384188|49
343597384189|49
343597384190|49
343597384191|49
343597384192|49
343597384193|49
343597384194|49
343597384195|49
343597384196|49
343597384197|49
343597384198|49
343597384199|49
343597384200|49
343597384201|49
343597384202|49
343597384203|49
343597384204|49
343597384205|49
343597384206|49
343597384207|49
343597384208|49
343597384209|49
343597384210|49
343597384211|51
343597384212|49
343597384213|49
343597384214|49
343597384215|49
343597384216|49
343597384217|49
343597384218|49
343597384219|49
343597384240|97
343597384241|97
343597384242|97
343597384243|97
343597384244|97
343597384245|97
343597384246|97
343597384247|97
343597384248|97
343597384249|97
343597384250|97
343597384251|97
343597384252|40
343597384253|97
343597384254|97
343597384255|97
274877907523|97
274877907524|97
274877907525|97
274877907526|97
274877907527|97
274877907528|97
274877907529|97
274877907530|97
274877907531|97
274877907532|97
274877907533|97
274877907534|97
274877907535|97
274877907536|97
274877907537|97
274877907538|97
274877907539|97
274877907540|97
274877907541|97
274877907542|97
274877907543|97
274877907544|97
274877907545|97
274877907546|97
274877907547|97
274877907548|97
274877907549|97
274877907550|97
274877907551|97
274877907552|97
274877907553|97
274877907554|97
274877907555|97
274877907556|97
274877907557|97
274877907558|97
274877907559|97
274877907560|97
274877907561|97
274877907562|97
274877907563|97
274877907564|97
274877907565|97
206158430830|110
206158430831|110
206158430832|110
206158430833|110
206158430834|110
206158430835|110
206158430836|110
206158430837|110
206158430838|110
206158430839|110
206158430840|110
206158430841|110
206158430842|110
206158430843|110
206158430844|110
206158430845|110
206158430846|110
206158430847|110
137438954112|110
137438954113|77
137438954114|110
137438954115|110
137438954116|110
137438954117|110
137438954118|110
137438954119|110
137438954120|110
137438954121|110
137438954122|110
137438954123|110
137438954124|110
206158430861|110
206158430862|50
206158430863|110
206158430864|110
206158430865|110
206158430866|110
206158430867|5
206158430868|110
206158430869|110
206158430870|110
206158430871|43
206158430872|110
206158430873|110
206158430874|110
206158430875|110
206158430876|110
206158430877|110
206158430878|110
206158430879|110
206158430880|110
274877907617|110
274877907618|110
274877907619|110
274877907620|110
274877907621|110
274877907622|110
274877907623|110
274877907624|110
274877907625|110
274877907626|110
274877907627|110
206158430892|110
206158430893|110
206158430894|110
206158430895|110
206158430896|110
206158430897|110
206158430898|110
206158430899|110
206158430900|110
206158430901|110
206158430902|110
206158430903|110
206158430904|110
206158430905|110
206158430906|110
206158430907|110
206158430908|110
206158430909|110
206158430910|110
206158430911|110
206158430912|110
206158430913|110
206158430914|110
206158430915|110
206158430916|110
206158430917|110
206158430918|110
206158430919|110
